NUM_SOLICITUD,SUCURSAL,STATUS_SOLICITUD,PUNTO_DECISION,APROBACION_TC,TIPO_CTE,LINEA_CREDITO_FINAL,CUENTA_ASIGNADA,MESES_VENCIDOS,SALDO_CUENTA,CAPACIDAD_TC,INGRESO_INFERIDO,COMPROBANTE_INGRESOS,SEGMENTO_CLIENTE,CLIENTE_CDE,SUMA_LINEAS_REVOLVENTES,NIVEL_RIESGO,CAPACIDAD_PAGO_TOTAL,SOLICITUDES_RECHAZADAS,SCORE_CLIENTE,SCORE_COMPORTAMIENTO,PEOR_MOP_TARJETAS,SUMA_SALDOS_TARJETAS,SUMA_PAGO_MIN_TARJETAS,PEOR_HISTORIA_CREDITO,SUMA_SALDOS_TOTAL,NUM_CREDITOS,EDAD,TIPO_VIVIENDA,ESCOLARIDAD
2.01311E+16,912,Cancelada,PS1,Rechazado,MALO,0,,,,,0,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,4,89,0,0,151248,2460,0,99279,0,31,Hipoteca,Posgrado
2.01406E+16,4369,Rechazada,PS1,Rechazado,MALO,0,,,,,0,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,5,89,0,0,0,0,0,0,0,26,Propia,Preparatoria
2.01406E+16,4371,Rechazada,PS1,Rechazado,MALO,0,,,,,0,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,5,89,0,0,0,0,0,21739,0,46,Renta,Licenciatura
2.01406E+16,148,Rechazada,PS1,Rechazado,MALO,0,,,,,0,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,4,89,0,1,15690,1230,0,0,0,34,Propia,Posgrado
2.01406E+16,4357,Rechazada,PS1,Rechazado,MALO,0,,,,,0,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,5,89,0,0,0,0,0,0,0,25,Renta,Preparatoria
2.01406E+16,227,Rechazada,PS1,Rechazado,MALO,0,,,,,0,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,4,89,0,1,17012,1090,0,70055,0,53,Hipoteca,Posgrado
2.01406E+16,4691,Rechazada,PS1,Rechazado,MALO,0,,,,,0,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,5,89,0,0,0,0,0,6442,0,59,Renta,Preparatoria
2.01406E+16,64,Rechazada,PS1,Rechazado,MALO,0,,,,,0,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,5,89,0,0,0,0,0,0,0,32,Renta,Licenciatura
2.01407E+16,4552,Rechazada,PS1,Rechazado,MALO,0,,,,,0,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,4,89,0,0,0,0,0,0,0,31,Propia,Preparatoria
2.01407E+16,272,Rechazada,PS1,Rechazado,MALO,0,,,,,0,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,5,89,0,0,0,0,0,0,0,35,Hipoteca,Posgrado
